--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
./maggi-f-cropped/maggi-4.png	monute                   	0.1894
./maggi-f-cropped/maggi-5.png	neo                      	0.9270
./maggi-f-cropped/maggi-6.png	authentic                	0.9997
./maggi-f-cropped/maggi-7.png	indian                   	0.9997
./maggi-f-cropped/maggi-8.png	noodlesh                 	0.4092
./maggi-f-cropped/maggi-9.png	masalas                  	0.2834
./maggi-f-cropped/maggi-10.png	simply                   	1.0000
./maggi-f-cropped/maggi-11.png	inside                   	1.0000
./maggi-f-cropped/maggi-12.png	mixpacket                	0.9998
./maggi-f-cropped/maggi-13.png	made                     	1.0000
./maggi-f-cropped/maggi-14.png	with                     	0.9995
./maggi-f-cropped/maggi-15.png	good                     	1.0000
./maggi-f-cropped/maggi-16.png	quality                  	0.9995
./maggi-f-cropped/maggi-17.png	spices                   	0.9999
./maggi-f-cropped/maggi-18.png	per                      	0.9999
./maggi-f-cropped/maggi-19.png	spicei                   	0.6859
./maggi-f-cropped/maggi-20.png	x                        	0.9987
./maggi-f-cropped/maggi-21.png	package                  	1.0000
./maggi-f-cropped/maggi-22.png	servingsuggestion        	0.5842
./maggi-f-cropped/maggi-23.png	310                      	0.9989
./maggi-f-cropped/maggi-24.png	calories                 	0.9965
./maggi-f-cropped/maggi-25.png	satfat                   	0.8861
./maggi-f-cropped/maggi-26.png	25000                    	0.0703
./maggi-f-cropped/maggi-27.png	9770                     	0.5092
./maggi-f-cropped/maggi-28.png	sodium                   	0.9995
./maggi-f-cropped/maggi-29.png	sugars                   	0.9999
./maggi-f-cropped/maggi-30.png	total                    	0.9997
./maggi-f-cropped/maggi-31.png	net                      	1.0000
./maggi-f-cropped/maggi-32.png	wt                       	0.9992
./maggi-f-cropped/maggi-33.png	246                      	0.9991
./maggi-f-cropped/maggi-34.png	r                        	0.1939
./maggi-f-cropped/maggi-35.png	170gy                    	0.6346
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\Lenovo\AppData\Local\Temp\tmp0w9p0rcy_cropped.png	inside                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp3hsxphx0_cropped.png	total                    	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmp5g0b9au6_cropped.png	servingsuggestion        	0.5296
C:\Users\Lenovo\AppData\Local\Temp\tmp5t5jhtf3_cropped.png	x                        	0.9955
C:\Users\Lenovo\AppData\Local\Temp\tmp6da7v4u6_cropped.png	25000                    	0.0697
C:\Users\Lenovo\AppData\Local\Temp\tmp7l97ey4e_cropped.png	f                        	0.2312
C:\Users\Lenovo\AppData\Local\Temp\tmp7n_cah8u_cropped.png	maggi                    	0.9996
C:\Users\Lenovo\AppData\Local\Temp\tmp53o4h7_d_cropped.png	authentic                	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmp_1jyzdm1_cropped.png	satfat                   	0.8839
C:\Users\Lenovo\AppData\Local\Temp\tmp_a0__2m4_cropped.png	noodlesh                 	0.3598
C:\Users\Lenovo\AppData\Local\Temp\tmp_kcyys0a_cropped.png	good                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp_olxtwy5_cropped.png	made                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpa1n8u269_cropped.png	simply                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpa8ckht1h_cropped.png	nonute                   	0.1044
C:\Users\Lenovo\AppData\Local\Temp\tmpahkcyyt0_cropped.png	masalas                  	0.2691
C:\Users\Lenovo\AppData\Local\Temp\tmpczif7xqi_cropped.png	170gy                    	0.5850
C:\Users\Lenovo\AppData\Local\Temp\tmpf0fhj5bx_cropped.png	246                      	0.9990
C:\Users\Lenovo\AppData\Local\Temp\tmpf3ivd5ds_cropped.png	calories                 	0.9965
C:\Users\Lenovo\AppData\Local\Temp\tmpfjbqm0wi_cropped.png	quality                  	0.9995
C:\Users\Lenovo\AppData\Local\Temp\tmpfx5kevvx_cropped.png	mixpacket                	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmpfyr5o36b_cropped.png	per                      	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmph2r14d5h_cropped.png	9700                     	0.6171
C:\Users\Lenovo\AppData\Local\Temp\tmph4s2_res_cropped.png	with                     	0.9994
C:\Users\Lenovo\AppData\Local\Temp\tmpi68pxjfh_cropped.png	wt                       	0.9990
C:\Users\Lenovo\AppData\Local\Temp\tmpisbwhxph_cropped.png	indian                   	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmpj5jkjd11_cropped.png	net                      	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpkaf70qzl_cropped.png	sodium                   	0.9995
C:\Users\Lenovo\AppData\Local\Temp\tmpluaz44bz_cropped.png	310                      	0.9989
C:\Users\Lenovo\AppData\Local\Temp\tmpnyzt8i7t_cropped.png	pack                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpogkoran9_cropped.png	export                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpqk8uaw06_cropped.png	sugars                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpsnelj1___cropped.png	spices                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpvy_jg_9g_cropped.png	neo                      	0.9586
C:\Users\Lenovo\AppData\Local\Temp\tmpxc6ojyvf_cropped.png	package                  	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpy2xb5cxw_cropped.png	spicei                   	0.8622
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\Lenovo\AppData\Local\Temp\tmp0lime3f__cropped.png	authentic                	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmp2xt5niq7_cropped.png	wt                       	0.9992
C:\Users\Lenovo\AppData\Local\Temp\tmp3ggx51so_cropped.png	inside                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp4s372rik_cropped.png	total                    	0.9997
